school_unique_reference_number,school_name
141135,Fulham College Boys' School
143134,Stantonbury Campus
104705,Archbishop Blanch School
141836,St Thomas More Roman Catholic Academy
144623,Barclay School
137606,Heanor Gate Science College
137352,Shelley College
147157,Glossopdale School
139821,Ark William Parker Academy
147440,Balaam Wood School
137382,Wyedean School and 6th Form Centre
140037,The Thomas Alleyne School
148179,Causeway School
136548,Brookfield Academy Trust
135876,Francis Combe Academy
148049,St Gabriel's RC High School
137754,Norbury Manor Business and Enterprise College for Girls
147212,"St Augustine's Roman Catholic School, Scarborough"
142388,Cockshut Hill Technology College
148050,St Monica's RC High School
142166,Waingels College
141941,Bolton UTC
126094,St Andrew's CofE High School for Boys
136406,Ninestiles Academy
142905,South Bank Engineering UTC
137416,Warden Park School
147537,The Ockendon Academy
108271,"Kettlethorpe High School, A Specialist Maths and Computing College"